46342,STANDARD,Hobart,New Chicago,,IN,Lake County,America/Indiana/Indianapolis,219,41.53,-87.26,NA,US,0,26684,
46345,PO BOX,Kingsbury,,,IN,La Porte County,America/Indiana/Indianapolis,219,41.53,-86.69,NA,US,0,0,
46346,PO BOX,Kingsford Heights,Kingsford Hts,,IN,La Porte County,America/Indiana/Indianapolis,219,41.48,-86.69,NA,US,0,1036,
46347,STANDARD,Kouts,,,IN,Porter County,America/Indiana/Indianapolis,219,41.31,-87.02,NA,US,0,4119,
46348,STANDARD,La Crosse,,,IN,La Porte County,America/Indiana/Indianapolis,219574,41.31,-86.88,NA,US,0,949,
46349,STANDARD,Lake Village,,,IN,Newton County,America/Indiana/Indianapolis,219,41.12,-87.45,NA,US,0,2807,
46350,STANDARD,La Porte,Laporte,,IN,La Porte County,America/Indiana/Indianapolis,219,41.6,-86.71,NA,US,0,36314,
46352,PO BOX,La Porte,,,IN,La Porte County,America/Indiana/Indianapolis,219,41.6,-86.71,NA,US,0,670,
46355,PO BOX,Leroy,,,IN,Lake County,America/Indiana/Indianapolis,219,41.36,-87.27,NA,US,0,0,
46356,STANDARD,Lowell,,"Belshaw, Creston, Lake Dalecarlia, North Hayden",IN,Lake County,America/Indiana/Indianapolis,219,41.29,-87.41,NA,US,0,14904,
46360,STANDARD,Michigan City,"Long Beach, Michiana Shores, Michiana Shrs, Pines, Potawatami Pk, Pottawattamie Park, Town Of Pines, Trail Creek",Mich City,IN,La Porte County,America/Indiana/Indianapolis,219,41.71,-86.87,NA,US,0,33533,
46361,PO BOX,Michigan City,,,IN,La Porte County,America/Indiana/Indianapolis,219,41.71,-86.87,NA,US,0,724,
46365,STANDARD,Mill Creek,,,IN,La Porte County,America/Indiana/Indianapolis,219574,41.53,-86.54,NA,US,0,986,
46366,STANDARD,North Judson,,,IN,Starke County,America/Indiana/Knox,219574,41.21,-86.77,NA,US,0,4825,
46368,STANDARD,Portage,Ogden Dunes,,IN,Porter County,America/Indiana/Indianapolis,219,41.58,-87.18,NA,US,0,32445,
46371,STANDARD,Rolling Prairie,Rolling Pr,,IN,La Porte County,America/Indiana/Indianapolis,219,41.68,-86.6,NA,US,0,3110,
46372,PO BOX,Roselawn,,,IN,Newton County,America/Indiana/Indianapolis,219,41.14,-87.31,NA,US,0,0,
46373,STANDARD,Saint John,Dyer,St John,IN,Lake County,America/Indiana/Indianapolis,219,41.44,-87.47,NA,US,0,12407,
46374,STANDARD,San Pierre,,,IN,Starke County,,219574,41.21,-86.86,NA,US,0,857,
46375,STANDARD,Schererville,,,IN,Lake County,America/Indiana/Indianapolis,219,41.48,-87.44,NA,US,0,21097,
46376,PO BOX,Schneider,,,IN,Lake County,America/Indiana/Indianapolis,219,41.19,-87.44,NA,US,0,0,
46377,PO BOX,Shelby,,,IN,Lake County,America/Indiana/Indianapolis,219,41.19,-87.34,NA,US,0,0,
46379,PO BOX,Sumava Resorts,Sumava Rsts,,IN,Newton County,America/Indiana/Indianapolis,219,41.16,-87.43,NA,US,0,0,
46380,PO BOX,Tefft,Wheatfield,,IN,Jasper County,America/Indiana/Indianapolis,219,41.19,-86.96,NA,US,0,0,
